ID,LATITUDE,LONGTITUDE,ELEVATION,NAME,
ASN00003028,-19.2536,121.4861,10,ANNA PLAINS,
ASN00003029,-18.7983,121.7125,9,FRAZIER DOWNS,
ASN00003030,-18.6844,121.7803,11,BIDYADANGA,94202
ASN00003031,-16.5167,122.8908,20,LOMBADINA MISSION,
ASN00003032,-17.3706,123.6611,6.2,DERBY AERO,95205
ASN00003033,-17.7472,124.5283,60,BLINA,
ASN00003035,-16.4,124.95,-999.9,MUNJA,
ASN00003036,-18,122.2167,9,BROOME QUARANTINE STATION,
ASN00003037,-17.4333,123.75,-999.9,MUNKAYARRA,
ASN00003039,-16.9667,125.3,-999.9,SILENT GROVE,
ASN00003040,-17.9903,124.1922,45,CAMBALLIN,
ASN00003041,-17.6925,122.7128,60,KILTO STATION,
ASN00003042,-19.2833,121.5,3,TALGARNO,
ASN00003043,-18.8789,125.9206,160,CHRISTMAS CREEK,
ASN00003044,-18.1103,125.6431,110,BROOKING SPRINGS,
ASN00003045,-19.1,121.5,-999.9,CALANGADIE,
ASN00003046,-18.4833,125.3333,91,CHERRABUN,
ASN00003047,-18.4,123.1,-999.9,DAMPIER DOWNS,
ASN00003048,-18.9158,125.5264,151,CHERRABUN,
ASN00003049,-16.9,125.7,-999.9,ISADELL DOWNS,
ASN00003050,-17.95,124.1667,-999.9,LIVERINGA LOWER,
ASN00003051,-16.7372,125.9086,401,MOUNT BARNETT,
ASN00003052,-16.8206,124.9158,190,MOUNT HART STATION,
ASN00003053,-16.7,123.9833,-999.9,OBAGAMA,
ASN00003054,-17.1,123.7,-999.9,POINT TORMENT,
ASN00003055,-18.7,121.75,-999.9,ROLLAH,
ASN00003056,-18.1792,122.3583,5,THANGOO,
ASN00003057,-16.4514,123.0086,7,CYGNET BAY,94201
ASN00003058,-18.8333,124.95,60,MILLAJIDDIE,
ASN00003059,-19.0861,121.6764,31,NITA DOWNS,
ASN00003060,-18.7667,123.6833,152,ARDJORIE,
ASN00003061,-16.695,123.8625,250,KIMBOLTON RANGE STATION 1,
ASN00003062,-16.5833,125.4833,-999.9,BEVERLEY SP,
ASN00003063,-16.715,125.4586,400,BEVERLEY SPRINGS,
ASN00003064,-18.1667,125.5833,-999.9,FITZROY A.I.M,
ASN00003065,-18.55,124.7167,-999.9,KALYEEDA,
ASN00003066,-18.5175,121.8072,10,PORT SMITH,
ASN00003068,-18.5075,123.4561,120,DAMPIER DOWNS,
ASN00003069,-16.1306,123.7764,152,KOOLAN ISLAND,
ASN00003072,-16.4508,123.0653,2,ONE ARM POINT,
ASN00003073,-16.6872,123.8375,25,KIMBOLTON,
ASN00003074,-17.9347,123.4731,50,YAKKAMUNGA,
ASN00003075,-17.3117,123.6356,-999.9,DERBY RFDS,
ASN00003076,-19.3283,125.3886,240,WESTERN FIELD,
ASN00003077,-18.5914,123.6133,120,MOWLA BLUFF,
ASN00003078,-18.7267,125.9875,200,CADJEBUT,
ASN00003079,-18.9897,121.7208,20,SHELAMAR,
ASN00003080,-17.5736,123.8217,77.5,CURTIN AERO,94204
ASN00003081,-17.5778,123.8222,91,CURTIN,
ASN00003082,-17.8672,122.3631,40,KIRBY GARDENS,
ASN00003083,-17.9769,122.3431,15,BROOME BIRD OBSERVATORY,
ASN00003084,-17.3436,123.6781,10,DERBY (MANNING RD),
ASN00003085,-17.4311,123.0389,80,MOUNT JOWLAENGA,
ASN00003086,-17.7278,123.6547,20,WILLARE BRIDGE,
ASN00003087,-17.5606,122.1458,15,TANJUNGPANDAN,
ASN00003088,-18.8375,126.5247,260,LARRAWA,
ASN00003089,-17.9492,122.2339,7,BROOME COMPARISON,
ASN00003090,-17.7981,124.0772,100,DEBESA,
ASN00003091,-18.9894,125.8478,200,BEEFWOOD PARK,
ASN00003092,-17.8578,122.2725,41,SOUTH EAST WATERBANK,
ASN00003093,-18.1814,125.5619,114.5,FITZROY CROSSING AERO,94206
ASN00003095,-18.3192,125.7806,160,PILLARA SPRINGS,
ASN00003096,-17.8964,122.3122,32,WEST ROEBUCK,95204
ASN00003098,-17.0549,125.7108,270,MOUNT HOUSE AIRSTRIP,
ASN00003100,-17.9503,124.2653,55,LIVERINGA STATION,
ASN00003103,-16.7733,122.5767,15,MIDDLE LAGOON,
ASN00003104,-17.6406,123.1722,50,KIMBERLEY COLOURSTONE,
ASN00003105,-18.1133,125.3428,175,LAUREL DOWNS,
ASN00004000,-21.4167,118.9333,226,ABYDOS,
ASN00004001,-20.9,117.1167,-999.9,WOODBROOK,
ASN00004002,-20.3139,118.5742,8,PORT HEDLAND POST OFFICE,
ASN00004003,-22.8,120.8625,500,BALFOUR DOWNS,
ASN00004004,-20.9264,120.2075,250,BAMBOO CREEK,
ASN00004005,-22.0517,119.6325,400,BAMBOO SPRINGS,
ASN00004006,-22.1828,119.935,480,BONNEY DOWNS,
ASN00004007,-20.4,118.4667,6,BOODARIE,
ASN00004008,-20.6392,119.2431,120,CARLINDIE,
ASN00004009,-20.6833,119.6667,-999.9,COONGAN STATION,
ASN00004010,-21.0333,117.1333,200,COOYA POOYA,
ASN00004011,-21.4667,119.8333,400,CORUNNA DOWNS,
ASN00004012,-20.1764,119.1906,15,DE GREY,
ASN00004013,-20.5167,119.6667,-999.9,ETTRICK,
ASN00004014,-20.85,119.7667,-999.9,EGINBAH,
ASN00004015,-21.7219,119.3989,271,HILLSIDE STATION,
ASN00004016,-20.7867,118.5972,80,INDEE,
ASN00004017,-21.15,118.1,-999.9,STATION PEAK,
ASN00004018,-21.1833,119.8167,-999.9,LIMESTONE,
ASN00004019,-19.7419,120.8436,7.5,MANDORA,94200
ASN00004020,-21.1756,119.7497,182.3,MARBLE BAR COMPARISON,
ASN00004021,-21.3122,120.0586,270,MOUNT EDGAR,
ASN00004022,-20.6333,120.0544,85,MUCCAN,
ASN00004023,-20.4619,119.5189,30,MULYIE,
ASN00004024,-20.5192,118.0603,20,MUNDABULLANGANA,
ASN00004025,-20.5,119.8,-999.9,NIMINGARRA,
ASN00004026,-22.2914,120.1761,495,NOREENA DOWNS,
ASN00004027,-21.8861,120.1103,380,NULLAGINE,
ASN00004028,-20.1078,119.5811,9,PARDOO STATION,94311
ASN00004030,-21.4,119.4,-999.9,PILGA,
ASN00004031,-20.6267,117.1925,30,POINT SAMSON,
ASN00004032,-20.3725,118.6317,6.4,PORT HEDLAND AIRPORT,GSN     94312
ASN00004033,-21.0561,117.4436,40,PYRAMID STATION,
ASN00004034,-22.0167,121.4,-999.9,RPF 734 MILE,
ASN00004035,-20.7767,117.1456,12,ROEBOURNE,94309
ASN00004036,-20.4681,119.0556,67,STRELLEY,
ASN00004037,-21.05,120,200,TALGA TALGA,
ASN00004038,-20.7483,118.8172,97,WALLAREENYA,
ASN00004039,-20.9469,117.3733,30,WARAMBIE,
ASN00004040,-20.6472,119.5869,84,WARRALONG,
ASN00004041,-20.8503,120.695,159,WARRAWAGINE,
ASN00004042,-20.8394,117.8358,32,WHIM CREEK,
ASN00004043,-21.9931,119.0131,387,REDMONT,
ASN00004044,-19.5,121.3,-999.9,WIDJUP OUTCAMP,
ASN00004045,-21.62,118.955,250,ABYDOS WOODSTOCK,
ASN00004046,-20.6739,120.2044,100,YARRIE,
ASN00004047,-20.8333,118.9,120,TABBA TABBA,
